Locus	Size	NumTags	ModeSizeNumTags
2680595	141	4	4
2680601	135	3	3
2680605	131	11	11
2705273	297	17	17
2729942	408	93	93
2730346	274	37	34
2730373	247	2	2
2742456	245	78	77
2742697	412	82	81
2755656	271	229	228
2768971	19	7	7
2772107	126	172	171
2772117	116	3	3
2772186	47	348	325
2772229	22	63	59
2788235	379	4	4
2800540	19	6	6
2807215	382	95	92
2807254	343	3	3
2807256	341	10	10
2807258	339	6	5
2807262	335	23	23
2807264	333	3	3
2807266	331	5	5
2807268	329	14	13
2807270	327	43	41
2807273	324	2	2
2807286	311	28	28
2818635	80	108	108
2818636	79	19	17
2818638	77	2	2
2818662	53	7	7
2833365	170	2	2
2872673	298	19	19
2872738	310	36	36
2872759	77	6	6
2872764	20	216	215
2872765	19	2	2
2872926	119	4	3
2880787	488	3	2
2912439	180	2	2
2912441	178	5	5
2912442	177	16	14
2912443	176	2109	2088
2912444	175	2	2
2933408	277	38	37
2933415	270	4	4
2933681	383	50	48
2935965	37	100	99
2935967	35	4	4
2956364	212	53	53
2956367	209	27	27
2964469	139	2	2
2964471	137	5	5
2964472	136	14	14
2964473	135	2690	2661
2964474	134	7	7
2980586	65	18	18
3001287	319	71	71
3001290	316	3	3
3007645	166	14	12
3007712	99	6	6
3007720	91	188	125
3007721	90	4	3
3013445	89	89	87
3013448	55	28	28
3013621	31782602	52	24
3108990	19	23	21
3112158	358	7	7
3113112	51	79	78
3113115	48	4	3
3117548	77	726	684
3117552	73	12	11
3117587	38	2	2
3117747	19	14	14
3118102	19	20	20
3153707	353	5	5
3163926	325	32	31
3172913	20	2	2
3213840	27	2	2
3270746	109	121	117
3288731	20	2	2
3376085	30	2	2
3376087	28	234	229
3464610	57	31	27
3503596	105763	2	2
3542150	436	2	2
3609126	233	10	10
3635059	259	17	17
3799870	284	2	2
3826013	44	51	48
3826053	195	10	10
3850307	22	3	3
3852879	315	2	2
3862229	293	56	50
3862231	291	4	4
3893696	64	316	313
3893698	62	3	3
3893699	61	5	5
3893735	25	5	5
3893740	20	62	62
3893756	136	125	124
3907850	233	32	30
3923712	62	49	49
3931654	21	191	189
3961108	98	55	54
3961116	90	2	2
4023908	232	29	29
4063058	1114460	3	2
4063059	99	16	11
4063060	98	1613	1595
4063061	97	4	2
4063064	94	145	143
4099673	299	2	2
4107827	44	13	5
4107828	43	7	4
4107829	42	526	513
4118708	40	14	13
4118744	82	147	147
4118745	81	2	2
4136868	29	6	6
4143116	102	3	2
4197312	292	40	37
4303541	101	119	117
4319134	54	3	3
4323931	27	3	3
4427674	67	3	2
4427675	66	3	3
4427718	23	104	102
4556017	23	13	13
4606501	2905643	2	2
4614189	21	6	6
4614860	160	389	368
4614865	155	18	18
4614867	153	176	167
4614869	151	8	7
4614870	150	2	2
4614872	148	2	2
4614917	103	6	4
4686831	157	225	222
4686833	155	4	2
4694361	278	9	8
4706328	154	124	124
4706334	148	10	10
4710032	56	3	3
4740314	70	38	35
4740587	24870	192	89
4745218	62	101	100
4745220	60	5	4
4752762	154	113	112
4752768	148	11	11
4756470	62	8	8
4756471	61	8	4
4764956	277	238	202
4765022	211	50	50
4765137	1042192	3	3
4765226	231	2	2
4765229	228	3	3
4787368	339	13	10
4796477	62	180	174
4807082	237	182	181
4819172	158	115	114
4819176	154	7	6
4822792	61	12	7
4822847	1164547	3	2
4822848	63	18	13
4822849	62	986	979
4831272	277	283	244
4831545	237	84	84
4858952	109	354	237
4859084	185	189	189
4859265	258	16	15
4880013	107	562	548
4880326	262	3	3
4880327	261	807	801
4880328	260	2	2
4880330	258	4	4
4886844	97	10	10
4886883	58	4	2
4886884	57	59	56
4886935	29	2	2
4886936	28	4	4
4886937	27	1097	1076
4886938	26	3	3
4886960	3878	200	191
4889452	285	15	15
4890653	149	91	63
4890655	147	2	2
4890741	964546	8	8
4890743	964546	6	6
4890744	964546	6	6
4890746	964546	10	10
4890747	964546	8	8
4890748	964546	5	5
4890750	964546	10	10
4890834	48	64	34
4938210	62	136	133
5124688	19	3	3
5126382	22	16	16
5126397	22	57	57
5126765	262	2	2
5177418	100	4	4
5177419	99	15	15
5177420	98	2228	2197
5177421	97	4	3
5196061	44	2	2
5196062	43	4	3
5196063	42	518	500
5196064	41	3	3
5199787	204	3	2
5201199	277	109	108
5217059	40	7	7
5217094	83	5	4
5217095	82	155	154
5217173	414	24	20
5237350	29	5	5
5241401	164	4	2
5246573	167	3	3
5246736	111	1089	1085
5246738	109	18	18
5246739	108	3	3
5246740	107	5	5
5259148	179	50	47
5309769	86	284	283
5309771	84	6	6
5340735	218	3	2
5359276	280	54	54
5491978	19	2	2
5562020	434	2	2
5690093	426	6	5
5703202	21	4	4
5703847	161	503	438
5703850	158	11	8
5703909	99	90	90
5710346	20	2	2
5747316	301	22	19
5747438	179	13	9
5747619	75	82	82
5807345	277	234	196
5807411	211	57	57
5807423	199	2	2
5807618	237	438	437
5807633	222	52	52
5839320	223	20	19
5845598	62	33	32
5845600	60	3	3
5855382	109	6	2
5855695	48	40	26
5891059	158	85	85
5894760	62	51	51
5905427	22	2	2
5906746	220	2	2
5933709	62	22	22
5947600	48	53	33
5950904	127	2	2
5986334	29	3	3
5987456	64	4	3
5987457	63	18	15
5987458	62	1473	1427
5987459	61	4	4
5991392	128	157	92
5996537	48	22	21
6002105	260	28	28
6002127	13496756	5	2
6007706	284	5	5
6038281	40	27	27
6038284	37	3	3
6048678	182	2	2
6051061	242	12	11
6051062	241	1538	1527
6051063	240	2	2
6057238	370	94	90
6072079	240	10	10
6073227	358	27	26
6079269	58	37	36
6079271	56	3	3
6105252	169	2	2
6107361	51	32	30
6107363	49	12	11
6107365	47	3	3
6107408	4	6	6
6135606	732295	2	2
6135637	46509	7	6
6140162	127	2	2
6140163	126	444	440
6140213	76	16	16
6140284	50	3	2
6140285	49	215	214
6149465	49	241	240
6180791	292	2	2
6180793	292	7	7
6180799	295	12	10
6233821	91	127	125
6242424	294	9	8
6248293	281	2	2
6257203	19	5	5
6280957	19600693	5	5
6291716	91	118	116
6291720	87	2	2
6311022	19	5	3
6314251	28	4	3
6316827	342	33	32
6316832	337	9	9
6317033	81	388	381
6317058	56	6	6
6326711	164	3	3
6326712	163	3	3
6326713	162	13	13
6326714	161	1902	1881
6326715	160	8	8
6330909	31944522	22	22
6338242	27	4	4
6359903	26951	3	2
6359904	161	52	49
6362304	159	2	2
6367804	264	2	2
6386692	162	3	3
6386693	161	914	898
6386694	160	2	2
6391425	134	5	5
6391920	411	92	51
6409400	25	31	31
6410881	161	714	709
6413239	168	126	126
6413244	163	2	2
6451223	41	4	4
6455286	346	252	249
6455626	102	2	2
6455627	101	13	12
6455628	100	953	936
6455629	99	4	4
6466695	11516	3	2
6466696	26669	6	5
6466697	181	165	155
6466874	161	5	5
6493183	182	6	6
6493184	181	3147	2999
6493185	180	3	2
6493191	174	17	16
6493193	172	2	2
6531655	57	2	2
6532289	171	4	4
6532290	170	5	5
6532291	169	1916	1893
6532292	168	2	2
6532305	155	2	2
6554695	219	3	3
6554705	209	2	2
6554706	208	9	9
6554707	207	1401	1393
6554714	200	2	2
6554817	35408378	2	2
6559148	359	23	22
6569993	170	5	5
6569994	169	13	12
6569995	168	2867	2812
6569996	167	8	8
6601815	92	2	2
6615242	481	4	3
6615699	30	2	2
6634127	92	40	40
6758894	126	12	11
6759146	122	10	10
6787343	160	107	79
6790518	88	3	2
6807723	92	2	2
6823602	84	76	71
6839860	124	2	2
6846705	50	2	2
6848606	211	4	4
6848607	210	4	3
6848608	209	7	7
6848609	208	1658	1589
6848610	207	5	4
6850195	393	5	4
6865889	219	215	213
6865895	213	5	5
6865896	212	10	10
6867934	770	356	355
6868581	123	3	3
6868582	122	2	2
6878954	285	299	295
6878967	272	2	2
6878994	245	71	71
6895926	327	54	51
6911395	114	2	2
6918902	47	5	5
6947441	25	33	32
6983663	182	2	2
7034557	26	63	61
7070098	26	55	54
7154392	192	20	15
7183373	22	2	2
7236164	23	2	2
7236165	22	75	67
7243915	264	3	2
7250335	867518	4	3
7255203	22	71	53
7255221	44	42	39
7255603	452	7	7
7256180	29	15	14
7257710	100	459	313
7268459	22	60	60
7269591	71	12	7
7274484	38	33	22
7274544	42	2	2
7302116	180	9	9
7307930	289	2	2
7307934	285	20	20
7307966	253	9	9
7308008	211	87	85
7308013	206	2	2
7323067	283	3	3
7334716	22	188	188
7344077	59	154	145
7344124	55	4	4
7344131	48	6	4
7344132	47	256	246
7377592	22	80	77
7388286	22	2	2
7396215	354	53	48
7404308	713485	2	2
7410447	22	63	61
7412212	71	17	11
7417925	127	280	276
7468991	353	2	2
7472543	225	91	90
7494810	96	81	81
7512178	97	1320	916
7512179	96	17	11
7512180	95	3	3
7512182	93	11	8
7512183	92	2	2
7512184	74	17	14
7512185	90	5	5
7512186	89	2	2
7512218	61	69	68
7512282	4	17	17
7512332	25	31	30
7515459	63	369	361
7515464	58	2	2
7515480	42	2	2
7547369	39	200	194
7547404	149	32	31
7547482	400	3	2
7547549	333	8	8
7574491	19	7	7
7610044	115	54	52
7617100	182	9	9
7617101	181	857	849
7617102	180	2	2
7617163	35	6	5
7617296	40	4	4
7617298	38	468	445
7617301	35	2	2
7625653	197	17	17
7691269	94	16	12
7691271	114	351	79
7691272	121	6	2
7691274	107	224	87
7695879	113	34	33
7695981	19	2	2
7702767	63	559	553
7702768	62	5	5
7702857	56	3	3
7723778	82	119	113
7744691	26	11	11
7748541	165	322	320
7748544	162	6	6
7774434	94	15	11
7774439	89	345	264
7774440	88	6	6
7774441	87	4	2
7774443	79	15	9
7774445	83	26	23
7774454	74	3	3
7774455	73	44	43
7774462	66	7	7
7774471	51	9	9
7774483	45	2	2
7777091	44	52	52
7777150	425	3	2
7777181	56	4	4
7797451	322	21	19
7798002	19	2	2
7809065	68	2	2
7809127	102	6	6
7809128	101	22	21
7809129	100	2822	2787
7811472	123	15	15
7811473	122	2434	2405
7811474	121	12	11
7811475	120	2	2
7818790	180	57	55
7818985	274	28	28
7818986	273	2	2
7886836	148	6	6
7886837	147	16	16
7886838	146	2964	2939
7886839	145	13	12
7886840	144	2	2
7895808	198	3	3
7895809	197	5	5
7895810	196	729	726
7895811	195	2	2
7929868	182	5	5
7940433	260	9	9
8010580	19	2	2
8045210	74	101	99
8045217	67	3	3
8045220	64	27	26
8046518	19	2	2
8050831	264	2	2
8050839	283	3	3
8061105	22	59	59
8066414	296	3	2
8066415	84	531	345
8085928	78	10	9
8101859	271	25	25
8102126	78	3	3
8117791	122	283	265
8117801	112	4	4
8117882	49	18	17
8149903	139	274	270
8161502	127	2	2
8162667	77	5	5
8179030	183	14	14
8179035	178	806	798
8179036	177	20	19
8179037	176	27	25
8179040	173	4	4
8207257	180	8	8
8207258	179	264	260
8207259	178	2	2
8209490	27	3	2
8217344	384	111	110
8217721	138	3	3
8217722	137	2	2
8217723	136	15	15
8217724	135	3017	2914
8217725	134	10	10
8217855	21	13	13
8220777	267	339	335
8233306	29	2	2
8250212	77	985	972
8250213	76	2	2
8250215	74	3	3
8250216	73	2	2
8250239	50	7	7
8254923	392	75	60
8255318	207	3	3
8255319	206	3	3
8255320	205	1291	1280
8255321	204	2	2
8255326	199	35	35
8255327	198	19	19
8255328	197	3	3
8255329	196	6	6
8261225	171	97	63
8261392	129	4	2
8262027	205	7	6
8263835	307408	2	2
8265105	178	6	6
8265106	177	19	19
8265107	176	4952	4904
8265108	175	14	13
8265279	80	4	2
8283683	171	906	903
8283684	170	8	8
8300258	19	2	2
8302189	100	3	3
8302190	99	4	4
8302191	98	12	12
8302192	97	41	34
8302193	96	3472	3421
8302194	95	7	5
8302195	94	3	2
8304513	264	110	110
8319855	19	2	2
8321201	74	7	3
8322088	241	5	5
8436255	21	4	4
8436256	20	4	4
8459279	98	2	2
8459280	97	1522	1499
8459281	96	4	3
8461560	28	10	10
8461561	27	802	792
8461584	264	243	239
8493072	21	38	38
8493458	366	128	126
8496158	401	10	10
8496433	126	2	2
8547563	29	2	2
8548163	20	9	9
8648620	401	2	2
8705861	28	60	59
8742428	27689	15	14
8768535	169	35	30
8769800	317	13	13
8789699	464	4	4
8837261	25	10	10
8887417	125	4	2
8980768	314	844	838
8980789	293	52	52
8980791	291	5	5
9009978	167	2295	2258
9009979	166	3	3
9010236	19	137	137
9017552	112	7	7
9017553	111	13	12
9017554	110	2366	2245
9017555	109	7	7
9017657	114	2	2
9017658	113	3	3
9017659	112	25	24
9017660	111	3297	3259
9017661	110	6	5
9017662	109	3	3
9030688	19	3	3
9042341	23	2	2
9042342	22	110	109
9058883	29	2	2
9073324	98	2	2
9073418	412	53	52
9074864	376	11	11
9091409	25	3	2
9130529	412	80	79
9165454	345	26	26
9181891	173	2	2
9230632	170	65	65
9243648	41	103	81
9243685	69	84	83
9243902	24464909	6	4
9288577	134	49	47
9288595	116	4	4
9304174	19	2	2
9321388	19	15	15
9349231	405	2	2
9376410	61	14	14
9379294	148	4	4
9401302	89	3	3
9401310	81	291	289
9401313	78	152	150
9401317	74	3	3
9450341	53	310	309
9450345	49	8	6
9450356	38	8	8
9496849	19	2	2
9504111	272	2	2
9504330	53	291	285
9504334	49	10	9
9504345	38	8	8
9549950	19	4	4
9557775	53	330	324
9557779	49	10	8
9557790	38	10	10
9557795	33	2	2
9635773	47	2	2
9643017	169	8	5
9645453	59	2	2
9661382	86	5	5
9742419	103	3	3
9746051	161	68	17
9779321	22	53	52
9846445	19	2	2
9864839	117	126	123
9864851	105	10	10
9889882	19	2	2
9932788	95	4	4
9932789	94	658	639
9932794	89	9	9
9981473	26	2	2
9982685	136	73	72
10004724	114	3	3
10004834	266	3	3
10026402	103	44	39
10046814	438	22	19
10046842	410	11	11
10047086	166	4	2
10059859	77	21	21
10077429	22	60	58
10077447	408	11	11
10077856	122	44	43
10077857	121	2	2
10153049	20	3	3
10200312	325	11	10
10217253	36	28	27
10219852	192	48	46
10241934	69	2	2
10241935	68	335	178
10262040	44	2	2
10262043	41	106	84
10262080	69	93	90
10262297	23446514	8	7
10295091	206	384	366
10295101	196	41	40
10324300	20	2	2
10351457	19	25	25
10368885	25476	2	2
10368887	25476	2	2
10368937	25476	3	3
10394454	132	273	148
10400470	120	2608	2581
10400471	119	2	2
10400472	118	50	50
10400473	117	7	7
10400474	116	13	13
10400475	115	2	2
10411713	53	4	2
10411714	52	10	9
10411715	51	1026	984
10445859	23	6	6
10450026	304	161	160
10471534	106	130	123
10472404	141	4	4
10472405	140	1583	1328
10472406	139	2	2
10472539	161	2	2
10472540	160	3	3
10472541	159	1388	1374
10472542	158	4	4
10488508	124	3	3
10488509	123	2	2
10488510	122	13	13
10488511	121	3107	3070
10488512	120	7	7
10488513	119	2	2
10488517	115	4	4
10488527	105	2	2
10494597	47	26	25
10515294	151	213	210
10515296	149	12	12
10520207	22	4	3
10559633	24	3	3
10562351	46	199	196
10649075	27	6	6
10653283	24	4	4
10653285	22	3	3
10655434	46	3	2
10748003	472	3	2
10843052	88	47	46
10843148	57	122	116
10843152	53	2	2
10846146	79	53	51
10895366	245	5	5
10895367	244	743	736
10895368	243	3	3
10895518	105062	2	2
10924818	19	6	6
10938309	26	4	2
10942203	350	33	33
10942549	171	1528	1376
10942550	170	4	3
10942555	165	2	2
10942556	164	135	134
10942558	162	4	3
10942576	144	16	16
10942591	28	4	3
10942634	86	17	17
11034516	208	153	32
11034517	207	48	15
11034518	206	35	11
11057015	104	3	3
11057016	103	10	10
11057017	102	1594	1579
11057018	101	4	4
11069977	59	21	21
11069986	50	2	2
11089269	29	8	8
11089270	28	290	286
11090892	118	4	2
11101101	90	2	2
11101102	89	8	7
11101103	88	24	19
11101104	87	2103	1947
11101105	86	6	6
11101108	83	2	2
11101183	109	2	2
11101184	108	3	3
11101185	107	8	8
11101186	106	26	26
11101187	105	3136	3093
11101188	104	7	6
11101192	100	2	2
11101200	92	2	2
11101287	248	4	4
11101288	247	914	910
11123591	19	2	2
11125024	30	46	44
11128913	237	4	4
11128914	236	948	927
11131210	121	25	25
11140755	160	1632	1615
11140756	159	2	2
11140757	158	24	24
11140758	157	6	5
11140759	156	4	4
11140760	155	4	4
11140766	149	9	9
11140772	143	2	2
11141596	148	3	2
11144303	179	45	44
11214966	325	5	4
11234633	277	2	2
11241158	149	2	2
11247867	22	2	2
11250980	21	2	2
11305836	136	5	5
11404653	24	2	2
11404656	21	229	226
11407894	28	3	3
11407895	27	225	223
11416108	163	134	125
11416112	159	2	2
11416158	113	18	15
11416265	127	3	3
11416266	126	13	13
11416267	125	2127	2103
11416268	124	5	5
11451129	66	16	10
11451130	65	987	566
11451131	64	2	2
11493090	66	10	10
11493091	65	962	565
11493092	64	6	6
11520527	93	2	2
11520616	22	3	2
11532294	129	1971	1949
11532295	128	2	2
11532297	126	2	2
11532299	124	579	569
11532300	123	5	5
11532301	122	5	5
11532303	120	3	3
11532304	119	4	4
11532318	105	4	4
11532322	101	8	8
11532326	97	13	12
11532344	79	4	4
11532350	73	6	6
11533076	65	116	113
11554363	433	5	4
11555450	369	2	2
11560185	127	2	2
11560186	126	2	2
11560187	125	25	25
11560188	124	2740	2703
11560189	123	6	6
11560195	117	2	2
11560308	281	3	2
11563188	69	721	714
11563191	66	19	17
11563192	65	2	2
11563193	64	2	2
11586942	19	6	4
11586989	24	40	40
11623889	128	2	2
11623890	127	76	73
11637531	10940841	3	3
11690253	97	51	45
11771780	56	238	190
11771811	25	33	33
11783069	59	3	3
11783070	58	5	5
11783071	57	29	26
11783072	56	1979	1946
11783073	55	4	4
11790163	36	12	12
11821461	385	7	7
11821462	24	2	2
11821464	382	72	72
11821467	379	2	2
11821482	364	11	11
11821705	141	43	41
11821840	50	3	2
11821842	48	14	10
11821887	351	15	14
11843413	102	2	2
11843508	121	2	2
11843509	120	2	2
11843510	119	24	20
11843511	118	2901	2871
11843512	117	5	5
11843513	116	2	2
11843584	31427	2	2
11843590	31427	2	2
11851284	19	204	204
11875052	121	2	2
11875053	120	6	6
11875054	119	12	12
11875055	118	3042	3015
11875056	117	4	4
11879074	423	27	27
11925673	183	7	7
11930024	29	64	64
11930026	27	28	28
11930032	21	2	2
11930033	20	2	2
11930049	77	2	2
11937505	149	214	207
11937614	36347	4	4
11937695	164372	2	2
11938785	183	7	7
11939567	153	2	2
11947509	282	6	3
11953113	321	301	300
11963855	99	5	5
11963856	98	18	17
11963857	97	2369	2332
11963858	96	7	7
11963859	95	2	2
11973999	484080	23	20
11974006	484073	3	3
11974802	466	4	3
11976072	123725	31	31
11976077	123720	2	2
11976347	209690	2	2
11976349	139525	11	10
11983699	97	10	10
11994153	417	35	33
12026099	98	2	2
12026381	75683	3	3
12026382	75683	10	9
12026383	75683	22	21
12026384	75683	15	15
12026385	75683	3	3
12026996	421	34	34
12027000	417	2	2
12053230	149	13	11
12061009	100	59	52
12061105	221	23	23
12099796	271	174	113
12099950	1440933	4	3
12099952	1440931	3	2
12101875	282	2	2
12115873	158	11	4
12116036	132	6	4
12116038	130	54	45
12116039	129	5	2
12116084	70026	5	2
12116087	70028	2	2
12116133	70029	2	2
12116147	70015	2	2
12116184	131	86	69
12116186	129	10	9
12116188	1424695	3	2
12129702	325125	5	5
12129704	325125	9	9
12129793	172	19	19
12129798	167	124	124
12129961	269	333	323
12129989	241	2	2
12133336	214	9	9
12186036	163	724	714
12186037	162	3	3
12186192	1354821	3	3
12186193	1354820	3	2
12186194	1354819	27	19
12186195	136	2438	2018
12186196	135	5	4
12186347	131	49	29
12187659	96	2	2
12206488	45	2	2
12206500	14338918	2	2
12206501	14338917	2	2
12210998	94	2	2
12224627	52064	2	2
12224628	52063	2	2
12224629	146	63	42
12227126	150	95	92
12273557	157	3	2
12276536	155	17	15
12276537	154	3355	3164
12276538	153	3	3
12276541	150	2	2
12293195	25982236	5	5
12311570	161	3	3
12332935	83	2	2
12340411	360	33	32
12350219	32	43	42
12383986	141	2	2
12416354	364	198	198
12429853	87	8	8
12434705	20790	8	6
12452453	289	9	9
12455491	50	31	29
12486655	71	11	11
12486656	70	24	20
12486657	69	2000	1962
12486658	68	4	4
12520469	314	217	217
12532701	19	3	3
12573402	19	24	24
12600518	38	43	42
12600552	35	11	11
12609392	38	35	34
12609426	35	17	17
12628208	121	6	6
12684437	429	12	12
12696490	80	104	104
12696491	79	3	3
12696494	76	2	2
12696500	70	2	2
12706975	99	3	3
12706976	98	209	185
12713269	233	130	130
12714996	342	133	133
12739981	386	2	2
12760661	361	2	2
12761017	153	7	7
12761018	152	1021	990
12761019	151	5	5
12761054	116	1148	1131
12761055	115	99	99
12761056	114	2	2
12761057	113	2	2
12761058	112	4	4
12761059	111	6	6
12761080	90	9	9
12761164	179	2	2
12761165	178	6	5
12761166	177	2259	2227
12761167	176	6	6
12761168	175	4	4
12761169	174	2	2
12761170	173	5	5
12761176	167	9	9
12761182	161	3	3
12761219	124	11	11
12761233	110	66	63
12761339	365	89	81
12761343	361	83	83
12761351	353	7	7
12761352	352	7	7
12766837	208	3	3
12766847	198	3	3
12780996	172	7	7
12780997	171	895	889
12781002	166	2	2
12781051	117	2	2
12781164	365	150	148
12786489	113	2	2
12968942	27	31	22
12968952	376	9	9
12969233	520689	3	2
12969324	118	3	3
12982459	50	5	5
12989783	29771223	4	4
13017897	56	38	38
13071277	56	18	13
13071452	59	42	41
13071484	27	2	2
13223987	41	28	28
13259967	83044	2	2
13259969	83042	4	2
13259970	83041	4	3
13259971	83040	19	9
13259972	118	494	439
13259973	117	6	4
13259994	239924	2	2
13281513	24	38	37
13289238	24	3	3
13306283	135840	3	3
13343008	120	12	6
13343009	119	43	25
13343010	118	6985	6920
13343011	117	21	21
13343012	116	5	4
13343022	106	7	5
13343023	105	7	7
13343124	363	47	47
13344399	105	26	26
13344427	155527	5	5
13386111	106	155	148
13436729	19	1102	1101
13479180	221	41	41
13490015	10003	2	2
13499632	386	7	7
13500011	121	4	4
13500012	120	5	5
13500013	119	39	39
13500014	118	5792	5694
13500015	117	23	22
13500019	113	2	2
13528011	359	2	2
13530510	290	246	243
13538799	144	11	9
13540880	136	6	6
13540881	135	30	29
13540882	134	5936	5885
13540883	133	14	14
13541010	154	2	2
13541011	153	8	7
13541012	152	5015	4876
13541013	151	4	4
13541014	150	3	3
13541160	150	51	48
13585899	107	24	22
13586009	94	65	63
13622539	23	10	10
13622540	22	7	7
13713266	102	29	28
13713363	120	2	2
13713364	119	484	452
13726739	106	63	61
13771895	443	13	13
13778790	255	12	11
13784917	83	4	4
13784918	82	17	17
13784919	81	2091	2059
13784920	80	3	3
13801243	113	8	8
13801244	112	15	15
13801245	111	2061	2031
13801246	110	8	7
13801351	75	17	17
13801352	74	757	745
13801353	73	2	2
13839788	2480	22	22
13841868	400	30	29
13843369	44	2	2
13848024	132	4	4
13848025	131	9	8
13848026	130	34	34
13848027	129	3568	3544
13848028	128	7	7
13862051	259	20	18
13909302	161	2	2
13912723	136	2	2
13926554	139	6	6
13926555	138	27	27
13926556	137	3156	3122
13926557	136	2	2
13959811	222	2	2
14010941	164	11	11
14035842	108	2	2
14044487	347	2	2
14072379	19	3	2
14091935	20	17	17
14132233	271	5	5
14198965	223	3	3
14290260	212	215	211
14294386	57	2	2
14295268	168	1018	751
14295287	149	179	137
14295289	149	3	2
14295290	146	2	2
14320279	147	151	149
14320282	144	4	4
14498331	19	4	4
14544823	97	4	3
14544824	96	13	9
14544825	95	1650	1291
14544826	94	6	4
14544833	78	441	395
14545637	21728987	4	4
14763594	226	2	2
14763618	202	63	62
14770689	163	533	530
14770690	162	2	2
14770693	159	11	11
14770717	135	3	3
14788660	269	21	13
14820528	202	82	82
14869010	129	5	5
14886519	215	45	45
14887718	258	3	3
14887719	257	648	642
14895847	136	58	58
14920731	65	6	6
14935650	65	2	2
14962298	19	11	11
14988249	155	48	44
14988262	142	2	2
15040985	406	3	3
15040986	405	5	5
15042421	228	83	63
15042485	105	16	16
15074742	73	75	67
15227876	111	2	2
15229212	265	8	8
15247216	88	2	2
15418764	156	2654	2624
15418765	155	7	7
15418768	152	45	45
